60,121,127,121,127,135,60,135,SUBJECT:
59,152,118,152,118,166,59,166,SAMPLE:
57,237,154,237,154,251,57,251,CIGARETTES:
473,218,502,218,502,235,473,235,TAR
473,235,501,235,501,249,473,249,9.1
518,219,550,219,550,233,518,233,NIC
520,235,547,235,547,252,520,252,.88
567,221,613,221,613,235,567,235,MOIST
571,232,605,232,605,246,571,246,14.0
637,223,676,223,676,237,637,237,MENT
645,276,672,276,672,291,645,291,.841
54,353,151,353,151,370,54,370,PREFERENCE:
215,429,262,429,262,444,215,444,Bright
380,430,401,430,401,441,380,441,39
459,428,472,428,472,442,459,442,34
527,430,549,430,549,439,527,439,43
596,429,616,429,616,441,596,441,35
656,430,677,430,677,442,656,442,42
660,458,677,458,677,473,660,473,8
601,458,614,458,614,475,601,475,9
531,456,545,456,545,473,531,473,11
459,459,474,459,474,474,459,474,6
383,460,400,460,400,474,383,474,8
373,478,399,478,399,497,373,497,200
452,480,477,480,477,494,452,494,100
521,479,552,479,552,492,521,492,100
590,480,618,480,618,495,590,495,100
653,479,677,479,677,493,653,493,100
13,522,110,522,110,533,13,533,ATTRIBUTES:
380,399,421,399,421,412,380,412,53+++
455,397,497,397,497,414,455,414,60+++
532,399,551,399,551,413,532,413,46
599,396,637,396,637,411,599,411,56+++
660,396,677,396,677,411,660,411,50
317,355,344,355,344,372,317,372,(n=)
167,525,206,525,206,539,167,539,Total
284,520,318,520,318,537,284,537,Male
381,519,431,519,431,537,381,537,Female
613,518,637,518,637,535,613,535,35+
144,547,170,547,170,565,144,565,KL
191,545,241,545,241,563,191,563,Bright
259,547,283,547,283,562,259,562,KL
309,544,355,544,355,564,309,564,Bright
370,546,391,546,391,559,370,559,KL
414,546,460,546,460,560,414,560,Bright
481,547,505,547,505,560,481,560,KL
531,546,578,546,578,559,531,559,Bright
591,547,613,547,613,558,591,558,KL
639,545,684,545,684,557,639,557,Bright
366,577,398,577,398,592,366,592,4.51
320,579,351,579,351,594,320,594,4.45
254,577,295,577,295,591,254,591,4.09**
205,579,237,579,237,594,205,594,4.59
140,577,197,577,197,594,140,594,4.31***
140,608,191,608,191,622,140,622,3.60**
139,638,191,638,191,653,139,653,3.64***
142,670,199,670,199,685,142,685,3.39***
139,700,193,700,193,713,139,713,3.12***
142,730,197,730,197,745,142,745,3.56***
134,765,176,765,176,780,134,780,4.00
202,608,237,608,237,623,202,623,3.42
250,607,296,607,296,624,250,624,3.73**
246,640,304,640,304,654,246,654,3.58***
204,643,241,643,241,655,204,655,4.94
200,669,240,669,240,688,200,688,3.04
248,670,308,670,308,688,248,688,3.46***
248,696,301,696,301,715,248,715,3.28***
200,697,239,697,239,716,200,716,2.78
202,730,239,730,239,750,202,750,3.24
197,761,241,761,241,780,197,780,3.96
246,762,279,762,279,777,246,777,4.02
249,730,302,730,302,744,249,744,3.69***
321,669,353,669,353,689,321,689,3.02
321,698,350,698,350,715,321,715,2.78
320,731,353,731,353,748,320,748,3.21
314,759,356,759,356,780,314,780,3.95
363,763,397,763,397,778,363,778,3.99
360,732,398,732,398,746,360,746,3.44
363,695,402,695,402,714,363,714,2.97*
364,666,408,666,408,684,364,684,3.33**
363,637,414,637,414,655,363,655,3.70***
364,607,404,607,404,624,364,624,3.47
318,610,350,610,350,624,318,624,3.43
316,643,351,643,351,657,316,657,4.85
427,575,460,575,460,590,427,590,4.71
427,608,460,608,460,625,427,625,3.41
423,636,465,636,465,656,423,656,5.02
427,671,460,671,460,685,427,685,3.06
422,696,463,696,463,715,422,715,2.78
425,732,459,732,459,749,425,749,3.26
427,764,459,764,459,778,427,778,3.96
473,574,524,574,524,589,473,589,4.35**
472,606,516,606,516,621,472,621,3.61*
475,639,528,639,528,654,475,654,3.63***
474,667,527,667,527,687,474,687,3.45***
474,695,524,695,524,714,474,714,3.17***
474,728,525,728,525,748,474,748,3.52***
476,765,518,765,518,777,476,777,4.07**
539,577,576,577,576,591,539,591,4.74
541,607,574,607,574,621,541,621,3.38
545,638,578,638,578,656,545,656,5.31
540,667,574,667,574,687,540,687,2.99
542,697,574,697,574,715,542,715,2.74
546,732,571,732,571,749,546,749,3.07
544,761,573,761,573,781,544,781,3.92
590,574,623,574,623,589,590,589,4.27
590,607,625,607,625,620,590,620,3.58
590,638,640,638,640,652,590,652,3.65***
592,672,636,672,636,684,592,684,2.34**
592,692,636,692,636,713,592,713,3.08**
591,730,629,730,629,747,591,747,3.60*
587,763,620,763,620,777,587,777,3.94
645,574,684,574,684,591,645,591,4.45
639,607,677,607,677,619,639,619,3.46
644,640,681,640,681,652,644,652,4.61
646,670,677,670,677,683,646,683,2.08
642,697,679,697,679,715,642,715,2.82
637,729,676,729,676,747,637,747,3.39
643,762,675,762,675,776,643,776,3.99
550,883,675,883,675,904,550,904,620915734
113,829,163,829,163,843,113,843,+/-/*
107,848,180,848,180,859,107,859,++/--/**
101,861,191,861,191,875,101,875,+++/---/***
45,795,113,795,113,808,45,808,Attribute
116,795,163,795,163,809,116,809,scores
156,794,216,794,216,808,156,808,reflectia
213,794,228,794,228,808,213,808,a
228,796,305,796,305,808,228,808,comparison
303,790,323,790,323,803,303,803,of
328,792,349,792,349,805,328,805,the
354,792,382,792,382,807,354,807,test
384,794,441,794,441,805,384,805,product
441,794,460,794,460,805,441,805,to
465,792,489,792,489,805,465,805,the
491,791,548,791,548,805,491,805,smoker's
546,789,580,789,580,806,546,806,most
579,792,621,792,621,805,579,805,often
624,789,663,789,663,806,624,806,brand
8,790,42,790,42,808,8,808,NOTE
60,60,231,60,231,89,60,89,TOP- LINES MENTHOL PRODUCT TEST
493,39,563,39,563,56,493,56,C273- 82- 7
488,55,559,55,559,69,488,69,1982 102KL
486,73,538,73,538,86,486,86,1 of 4
441,42,485,42,485,56,441,56,PDC #
408,58,484,58,484,73,408,73,PROJECT #
429,73,484,73,484,88,429,88,PAGE #
185,113,493,113,493,134,185,134,KOOL Lights KS vs. Bright KS Product Monitor
