138,178,216,178,216,191,138,191,DIVISION:
512,275,535,275,535,288,512,288,80%
520,320,536,320,536,333,520,333,5%
607,291,624,291,624,303,607,303,5%
601,305,622,305,622,317,601,317,10%
600,334,635,334,635,347,600,347,100%
346,482,357,482,357,494,346,494,0
442,481,460,481,460,492,442,492,0%
345,498,358,498,358,509,345,509,8
439,496,457,496,457,508,439,508,3%
333,513,356,513,356,525,333,525,162
434,512,456,512,456,524,434,524,53%
340,529,355,529,355,539,340,539,76
433,528,455,528,455,538,433,538,25%
430,556,462,556,462,568,430,568,100%
432,543,455,543,455,554,432,554,19%
339,544,357,544,357,553,339,553,57
333,555,353,555,353,567,333,567,303
368,618,416,618,416,625,368,625,Liquor
202,542,263,542,263,555,202,555,ANNUALS
203,555,248,555,248,568,203,568,TOTAL
425,452,435,452,435,467,425,467,%
698,801,717,801,717,873,698,873,92081358
301,67,541,67,541,114,301,114,URBAN CENTER INITIATIVE ASSIGNMENT PROFILE
99,20,209,20,209,33,99,33,11/30/93 17:07
237,19,334,19,334,34,237,34,708 369 1422
404,16,492,16,492,29,404,29,LORILLARD CHI
667,7,738,7,738,25,667,25,002/003 
245,175,343,175,343,188,245,188,Chicago South
136,199,668,199,668,236,136,236,LIST THE INFORMATION BELOW AS IT PERTAINS TO THE URBAN CENTER PORTION OF YOUR ASSIGNMENT ONLY:
138,249,341,249,341,261,138,261,POPULATION COMPOSITION:
231,279,314,279,314,291,231,291,% BLACK =
234,293,341,293,341,306,234,306,% HISPANIC =
237,309,324,309,324,321,237,321,% WHITE =
234,321,316,321,316,336,234,336,% OTHER 
235,337,315,337,315,350,235,350,% TOTAL =
138,366,298,366,298,382,138,382,% OF RETAIL CALLS:
332,364,451,364,451,379,332,379,247- classifIed
341,381,423,381,423,394,341,394,57- annual
138,392,544,392,544,409,138,409,APPROXIMATE % OF RETAIL CALLS SECURED BY GLASS:
567,392,677,392,677,405,567,405,45% (136 calls)
139,425,332,425,332,438,139,438,RETAIL CALL FREQUENCY:
314,453,374,453,374,467,314,467,# CALLS
220,485,266,485,266,497,220,497,50/ YR
218,493,264,493,264,511,218,511,25/ YR
220,513,264,513,264,526,220,526,12/ YR
227,529,268,529,268,542,227,542,6/ YR
140,585,340,585,340,598,140,598,PRIMARY CLASS OF TRADE:
362,584,503,584,503,597,362,597,Convenience/ Grocery
141,615,358,615,358,628,141,628,SECONDARY CLASS OF TRADE:
140,654,710,654,710,670,140,670,PRIMARY DISTRIBUTION CHANNEL (E. G. JOBBER, SUB- JOBBER MEMBERSHIP
142,672,382,672,382,686,142,686,CLUB, CASH & CARRY, ETC...):
411,670,567,670,567,685,411,685,*Jobber/ Membership
143,699,690,699,690,757,143,757,* A number of stores are part of an Arab owned collective that gets a large order delivered from a jobber and then distributes the cigarettes to each store.
